"Wisconsin Lottery - Badger 5 Winning Numbers - Numerical Order"
"Draw Date",,,,,,Doubler,"Est. Jackpot"
2023-01-09,7,8,18,21,26,,"$14,000.00"
2023-01-08,3,16,17,22,26,,"$10,000.00"
2023-01-07,14,15,16,17,31,,"$85,000.00"
2023-01-06,6,14,21,24,29,,"$57,000.00"
2023-01-05,13,16,21,26,29,,"$37,000.00"
2023-01-04,4,11,16,24,27,,"$22,000.00"
2023-01-03,8,13,21,25,28,,"$10,000.00"
2023-01-02,1,8,9,13,23,,"$10,000.00"
2023-01-01,8,14,18,26,30,,"$71,000.00"
2022-12-31,15,16,22,23,24,,"$51,000.00"
2022-12-30,2,17,18,19,29,,"$30,000.00"
2022-12-29,3,4,25,27,29,,"$16,000.00"
2022-12-28,5,6,8,12,23,,"$10,000.00"
2022-12-27,3,11,14,15,27,,"$10,000.00"
2022-12-26,6,9,14,27,28,,"$10,000.00"
2022-12-25,1,7,17,19,31,,"$109,000.00"
2022-12-24,7,18,20,24,29,,"$84,000.00"
2022-12-23,7,11,14,24,29,,"$66,000.00"
2022-12-22,5,11,17,21,22,,"$49,000.00"
2022-12-21,3,8,11,14,18,,"$35,000.00"
2022-12-20,1,16,17,18,25,,"$21,000.00"
2022-12-19,1,5,11,27,28,,"$10,000.00"
2022-12-18,2,4,5,11,28,,"$68,000.00"
2022-12-17,6,17,22,28,29,,"$50,000.00"
2022-12-16,8,9,13,24,27,,"$48,000.00"
2022-12-15,7,17,18,19,31,,"$24,000.00"
2022-12-14,7,8,17,21,26,,"$10,000.00"
2022-12-13,3,18,20,24,25,,"$10,000.00"
2022-12-12,8,10,11,19,27,,"$33,000.00"
2022-12-11,5,9,21,25,31,,"$20,000.00"
2022-12-10,5,16,25,26,29,,"$10,000.00"
2022-12-09,12,15,20,21,26,,"$15,000.00"
2022-12-08,11,18,24,29,30,,"$10,000.00"
2022-12-07,4,9,10,14,16,,"$15,000.00"
2022-12-06,4,13,16,17,26,,"$10,000.00"
2022-12-05,1,2,13,22,23,,"$30,000.00"
2022-12-04,6,13,16,27,29,,"$21,000.00"
2022-12-03,6,7,15,23,31,,"$10,000.00"
2022-12-02,2,6,13,18,22,,"$245,000.00"
2022-12-01,2,3,25,26,28,,"$185,000.00"
2022-11-30,1,21,26,27,30,,"$142,000.00"
2022-11-29,1,2,7,21,23,,"$106,000.00"
2022-11-28,2,10,15,22,31,,"$80,000.00"
2022-11-27,13,17,22,26,31,,"$61,000.00"
2022-11-26,5,24,26,27,31,,"$46,000.00"
2022-11-25,10,17,18,26,27,,"$31,000.00"
2022-11-24,1,4,8,29,30,,"$21,000.00"
2022-11-23,8,10,14,16,26,,"$10,000.00"
2022-11-22,3,7,9,14,28,,"$33,000.00"
2022-11-21,11,20,29,30,31,,"$13,000.00"
2022-11-20,2,5,26,27,31,,"$10,000.00"
2022-11-19,1,6,12,16,22,,"$96,000.00"
2022-11-18,3,19,23,25,26,,"$72,000.00"
2022-11-17,13,17,20,22,29,,"$52,000.00"
2022-11-16,8,9,21,28,29,,"$38,000.00"
2022-11-15,3,15,17,18,25,,"$25,000.00"
2022-11-14,4,8,21,26,29,,"$10,000.00"
2022-11-13,5,16,18,20,31,,"$134,000.00"
2022-11-12,2,6,23,25,27,,"$100,000.00"
2022-11-11,9,10,17,19,22,,"$73,000.00"
2022-11-10,2,3,10,19,25,,"$52,000.00"
2022-11-09,5,12,25,27,28,,"$33,000.00"
2022-11-08,1,3,5,9,18,,"$26,000.00"
2022-11-07,1,10,14,16,31,,"$10,000.00"
2022-11-06,3,10,11,12,20,,"$25,000.00"
2022-11-05,6,7,10,24,27,,"$10,000.00"
2022-11-04,8,16,18,25,28,,"$40,000.00"
2022-11-03,9,11,24,27,30,,"$18,000.00"
2022-11-02,3,10,11,19,28,,"$10,000.00"
2022-11-01,3,8,13,14,23,,"$103,000.00"
2022-10-31,1,3,12,17,25,,"$76,000.00"
2022-10-30,5,12,19,20,25,,"$54,000.00"
2022-10-29,6,7,18,19,23,,"$38,000.00"
2022-10-28,8,13,20,28,31,,"$22,000.00"
2022-10-27,1,13,18,22,29,,"$10,000.00"
2022-10-26,6,10,17,20,21,,"$118,000.00"
2022-10-25,5,11,12,16,25,,"$88,000.00"
2022-10-24,11,20,21,26,28,,"$71,000.00"
2022-10-23,1,5,13,14,18,,"$51,000.00"
2022-10-22,3,9,16,20,29,,"$37,000.00"
2022-10-21,3,6,23,24,31,,"$18,000.00"
2022-10-20,1,8,11,24,29,,"$10,000.00"
2022-10-19,2,3,10,11,25,,"$98,000.00"
2022-10-18,4,6,20,26,27,,"$70,000.00"
2022-10-17,1,5,19,22,27,,"$51,000.00"
2022-10-16,2,7,11,22,30,,"$36,000.00"
2022-10-15,1,3,8,14,30,,"$25,000.00"
2022-10-14,11,13,14,30,31,,"$10,000.00"
2022-10-13,5,12,14,17,20,,"$28,000.00"
2022-10-12,10,15,18,26,29,,"$16,000.00"
2022-10-11,11,13,25,27,30,,"$10,000.00"
2022-10-10,5,9,15,24,26,,"$47,000.00"
2022-10-09,4,21,23,27,29,,"$34,000.00"
2022-10-08,2,9,13,17,21,,"$24,000.00"
2022-10-07,14,15,20,26,28,,"$10,000.00"
2022-10-06,7,10,12,14,22,,"$168,000.00"
2022-10-05,2,4,15,26,29,,"$127,000.00"
