https://www.michiganlottery.com/resources/number-tools?SELECTED_TOOL=PAST_RESULTS&SELECTED_GAME=6
"Draw Date","Winning Numbers","Drawing Type"
"12/03/2022","7,10,19,39,43,46","REGULAR DRAWING"
"12/03/2022","4,9,11,14,16,19","DOUBLE PLAY DRAWING"
"11/30/2022","5,12,13,17,30,37","REGULAR DRAWING"
"11/30/2022","10,27,29,30,39,43","DOUBLE PLAY DRAWING"
"11/26/2022","25,34,38,41,42,46","REGULAR DRAWING"
"11/26/2022","6,20,27,30,37,44","DOUBLE PLAY DRAWING"
"11/23/2022","1,3,8,9,15,37","REGULAR DRAWING"
"11/23/2022","6,8,14,25,28,31","DOUBLE PLAY DRAWING"
"11/19/2022","10,13,31,37,38,41","REGULAR DRAWING"
"11/19/2022","7,8,12,23,24,25","DOUBLE PLAY DRAWING"
"11/16/2022","2,5,10,19,21,24","REGULAR DRAWING"
"11/16/2022","3,8,18,19,25,41","DOUBLE PLAY DRAWING"
"11/12/2022","2,3,10,17,42,44","REGULAR DRAWING"
"11/12/2022","9,22,24,27,37,41","DOUBLE PLAY DRAWING"
"11/09/2022","5,20,21,25,36,43","REGULAR DRAWING"
"11/09/2022","8,10,11,13,24,44","DOUBLE PLAY DRAWING"
"11/05/2022","2,4,8,23,28,34","REGULAR DRAWING"
"11/05/2022","7,11,20,34,38,40","DOUBLE PLAY DRAWING"
"11/02/2022","1,9,12,20,26,47","REGULAR DRAWING"
"11/02/2022","15,16,24,32,34,40","DOUBLE PLAY DRAWING"
"10/29/2022","19,24,29,38,39,47","REGULAR DRAWING"
"10/29/2022","3,16,34,35,39,45","DOUBLE PLAY DRAWING"
"10/26/2022","5,10,40,44,45,46","REGULAR DRAWING"
"10/26/2022","13,15,19,27,37,46","DOUBLE PLAY DRAWING"
"10/22/2022","8,9,17,20,39,46","REGULAR DRAWING"
"10/22/2022","5,15,21,36,42,44","DOUBLE PLAY DRAWING"
"10/19/2022","2,18,19,24,31,42","REGULAR DRAWING"
"10/19/2022","5,7,13,32,40,45","DOUBLE PLAY DRAWING"
"10/15/2022","6,8,11,31,42,45","REGULAR DRAWING"
"10/15/2022","2,8,9,18,30,32","DOUBLE PLAY DRAWING"
"10/12/2022","20,29,42,43,45,46","REGULAR DRAWING"
"10/12/2022","2,5,11,21,40,42","DOUBLE PLAY DRAWING"
"10/08/2022","3,4,11,18,20,44","REGULAR DRAWING"
"10/08/2022","4,7,26,39,44,47","DOUBLE PLAY DRAWING"
"10/05/2022","9,11,20,23,41,44","REGULAR DRAWING"
"10/05/2022","2,20,25,29,37,39","DOUBLE PLAY DRAWING"
"10/01/2022","5,6,16,17,21,46","REGULAR DRAWING"
"10/01/2022","22,23,25,33,46,47","DOUBLE PLAY DRAWING"
"09/28/2022","2,5,14,30,32,42","REGULAR DRAWING"
"09/28/2022","11,12,17,22,41,47","DOUBLE PLAY DRAWING"
"09/24/2022","5,11,29,32,34,47","REGULAR DRAWING"
"09/24/2022","2,10,19,21,36,41","DOUBLE PLAY DRAWING"
"09/21/2022","1,6,9,12,23,35","REGULAR DRAWING"
"09/21/2022","2,19,30,40,46,47","DOUBLE PLAY DRAWING"
"09/17/2022","19,33,37,39,41,43","REGULAR DRAWING"
"09/17/2022","7,30,37,40,43,44","DOUBLE PLAY DRAWING"
"09/14/2022","7,9,18,21,34,36","REGULAR DRAWING"
"09/14/2022","8,18,22,35,44,45","DOUBLE PLAY DRAWING"
"09/10/2022","2,10,12,32,37,41","REGULAR DRAWING"
"09/10/2022","7,14,17,23,29,40","DOUBLE PLAY DRAWING"
"09/07/2022","2,11,22,28,33,39","REGULAR DRAWING"
"09/07/2022","9,16,29,35,41,43","DOUBLE PLAY DRAWING"
"09/03/2022","13,26,29,41,42,43","REGULAR DRAWING"
"09/03/2022","4,7,14,21,34,39","DOUBLE PLAY DRAWING"
"08/31/2022","9,10,16,24,26,27","REGULAR DRAWING"
"08/31/2022","4,16,31,32,44,47","DOUBLE PLAY DRAWING"
"08/27/2022","7,11,12,26,27,42","REGULAR DRAWING"
"08/27/2022","1,5,18,26,32,41","DOUBLE PLAY DRAWING"
"08/24/2022","24,30,33,37,40,47","REGULAR DRAWING"
"08/24/2022","10,14,16,31,32,38","DOUBLE PLAY DRAWING"
"08/20/2022","9,11,22,25,28,43","REGULAR DRAWING"
"08/20/2022","10,12,22,24,37,44","DOUBLE PLAY DRAWING"
"08/17/2022","12,16,35,39,42,43","REGULAR DRAWING"
"08/17/2022","11,24,31,33,36,37","DOUBLE PLAY DRAWING"
"08/13/2022","13,16,24,27,31,33","REGULAR DRAWING"
"08/13/2022","5,6,7,11,13,46","DOUBLE PLAY DRAWING"
"08/10/2022","3,19,25,33,37,38","REGULAR DRAWING"
"08/10/2022","1,5,14,16,38,42","DOUBLE PLAY DRAWING"
"08/06/2022","7,8,21,23,44,46","REGULAR DRAWING"
"08/06/2022","1,2,3,23,32,44","DOUBLE PLAY DRAWING"
"08/03/2022","2,4,9,17,28,46","REGULAR DRAWING"
"08/03/2022","6,7,24,37,38,41","DOUBLE PLAY DRAWING"
"07/30/2022","1,3,10,14,18,39","REGULAR DRAWING"
"07/30/2022","6,9,24,29,30,35","DOUBLE PLAY DRAWING"
"07/27/2022","2,17,22,31,38,43","REGULAR DRAWING"
