"Draw Date","Winning Numbers","Powerball","Power Play","Drawing Type"
"01/26/2022","4,11,38,49,69","16","3","REGULAR DRAWING"
"01/26/2022","10,27,40,43,45","25","","DOUBLE PLAY DRAWING"
"01/24/2022","11,29,30,47,53","16","3","REGULAR DRAWING"
"01/24/2022","1,20,22,23,33","18","","DOUBLE PLAY DRAWING"
"01/22/2022","8,14,33,36,67","17","2","REGULAR DRAWING"
"01/22/2022","2,10,30,45,47","21","","DOUBLE PLAY DRAWING"
"01/19/2022","11,15,43,55,61","10","3","REGULAR DRAWING"
"01/19/2022","24,25,35,59,63","11","","DOUBLE PLAY DRAWING"
"01/17/2022","9,24,35,46,65","22","2","REGULAR DRAWING"
"01/17/2022","7,19,33,38,64","22","","DOUBLE PLAY DRAWING"
"01/15/2022","3,18,37,51,59","13","2","REGULAR DRAWING"
"01/15/2022","7,16,24,53,62","24","","DOUBLE PLAY DRAWING"
"01/12/2022","12,21,22,30,33","24","4","REGULAR DRAWING"
"01/12/2022","14,25,50,53,66","2","","DOUBLE PLAY DRAWING"
"01/10/2022","14,17,18,21,27","9","2","REGULAR DRAWING"
"01/10/2022","11,28,47,59,68","23","","DOUBLE PLAY DRAWING"
"01/08/2022","20,21,36,60,65","13","10","REGULAR DRAWING"
"01/08/2022","31,48,50,54,66","20","","DOUBLE PLAY DRAWING"
"01/05/2022","6,14,25,33,46","17","2","REGULAR DRAWING"
"01/05/2022","23,41,56,62,65","4","","DOUBLE PLAY DRAWING"
"01/03/2022","2,13,32,33,48","22","2","REGULAR DRAWING"
"01/03/2022","4,19,26,64,65","16","","DOUBLE PLAY DRAWING"
"01/01/2022","6,12,39,48,50","7","2","REGULAR DRAWING"
"01/01/2022","4,6,7,10,30","9","","DOUBLE PLAY DRAWING"
"12/29/2021","2,6,9,33,39","11","2","REGULAR DRAWING"
"12/29/2021","43,51,53,63,68","5","","DOUBLE PLAY DRAWING"
"12/27/2021","36,38,45,62,64","19","2","REGULAR DRAWING"
"12/27/2021","6,11,23,24,40","9","","DOUBLE PLAY DRAWING"
"12/25/2021","27,29,45,55,58","2","3","REGULAR DRAWING"
"12/25/2021","1,15,28,48,51","26","","DOUBLE PLAY DRAWING"
